"Feature","Gain","Cover","Frequency"
"agency_id21281",0.000214792411178305,0.000788675510106406,0.00286310967394233
"incident_date_dayofweekTuesday",0.000210695310513935,8.89361368965645e-05,0.00666936135812449
"agency_id21119",0.000202032092220772,0.0022215838168152,0.000976825653462678
"agency_id21010",0.000201311704926493,0.00119218035413204,0.00299784424683374
"agency_id21221",0.000200685299492981,0.000313465421703781,0.000707356507679871
"agency_id21082",0.000200059129771768,0.00248890165041601,0.00222312045270817
"incident_hour22",0.000195834424570895,0.000922104937824931,0.00225680409593102
"victim_type_id6",0.000195594823019375,0.000884847718664534,0.000370520075451361
"agency_id21218",0.000185894420102624,0.000419336067399023,0.00134734572891404
"incident_date_month06",0.000182643896995244,6.44708569843662e-05,0.00451360819186203
"incident_date_dayofweekMonday",0.000182496240076769,6.57098837732286e-05,0.00545675020210186
"agency_id21288",0.000179541064479526,0.000438925483965186,0.000639989221234169
"incident_date_month09",0.000175807701565071,0.000101157537482043,0.00471571005119914
"incident_hour6",0.000174836802607166,0.00124950387007522,0.00175154944758825
"agency_id20944",0.000168829994572778,0.0021859680635442,0.00286310967394233
"agency_id21322",0.00016463182384209,0.00150963555303155,0.00262732417138238
"incident_date_month10",0.000161533756082122,0.000150406501504588,0.00309889517650229
"agency_id20995",0.000160026965213364,0.00105818101265623,0.000303152789005659
"agency_id20935",0.000154141549012753,0.00116595660817845,0.00208838587981676
"incident_hour14",0.000153544018335819,0.000190636128005606,0.00333468067906225
"incident_date_month02",0.000153178512743664,8.65015707856784e-05,0.00309889517650229
"agency_id20996",0.00015220066027295,0.0011942030004342,0.00124629479924549
"incident_hour15",0.000152174294168693,0.000292423748711163,0.00474939369442199
"agency_id26078",0.000151614730008426,0.00248298445060354,0.000842091080571275
"agency_id21123",0.000150026517377097,0.00197951111535284,0.000875774723794126
"agency_id21166",0.000149952217493262,0.000940138780265948,0.000404203718674212
"incident_hour10",0.000148772628968137,0.000131573756148754,0.00353678253839935
"agency_id21083",0.000148090965837198,0.000670113642064747,0.00101050929668553
"incident_date_month05",0.000147346990476467,6.95055355832541e-05,0.00360414982484506
"incident_hour17",0.000145080734581642,0.00053112838841995,0.00239153866882242
"age_num21",0.000139932474921695,0.000453912216084363,0.00127997844246834
"agency_id20999",0.000136187789398611,0.00109808192699515,0.00205470223659391
"agency_id21007",0.000135331168814041,0.000754663609369068,0.000875774723794126
"agency_id21105",0.00013378566220024,0.000859246259495216,0.00101050929668553
"agency_id21238",0.000132670894557228,0.00184702487823847,0.00306521153327944
"incident_hour7",0.000132306155030044,0.00173117878970521,0.001583131231474
"agency_id21279",0.000129306286697329,0.00107331738879706,0.00114524386957693
"agency_id21002",0.000128822765008247,0.000760364318132718,0.00161681487469685
"incident_hour3",0.000128559903703834,0.00114769041994499,0.00262732417138238
"incident_hour16",0.000127250042042255,8.13927307902835e-05,0.00262732417138238
"incident_date_month12",0.000125795579303785,6.51375596664071e-05,0.00269469145782808
"race_id30",0.000124570910801554,0.00172713597291669,0.000774723794125573
"incident_date_month08",0.000120737791075016,6.79375228642001e-05,0.00387361897062786
"incident_date_month04",0.00011575835193064,7.32036664364411e-05,0.00303152789005659
"agency_id21287",0.000115058345331893,0.000484746073932399,0.000909458367016977
"agency_id21140",0.000114040522789974,0.000299236003554809,0.0017852330908111
"agency_id21256",0.000109452829067564,0.000424356974272406,0.000303152789005659
"incident_date_month11",0.000106926826637986,6.68315711757228e-05,0.00259364052815953
"agency_id21018",0.000106507671243012,0.000311447917480627,0.000639989221234169
"agency_id20952",0.000105044807044757,0.000840413014215034,0.00033683643222851
"agency_id21193",0.000104225639460774,0.00156902666085642,0.00131366208569119
"agency_id34382",0.000102985060378389,0.00215545896607532,0.000437887361897063
"agency_id21096",0.000102837108819539,0.000722145196913975,0.00138102937213689
"agency_id21204",0.000102643050251426,0.000242443811970394,0.000943142010239828
"age_num82",0.000102477058283438,0.00043941469564907,0.000235785502559957
"incident_hour9",0.000101695916144196,0.000148444167504178,0.00255995688493667
"location_id29",0.000101563142773717,0.00103087133579403,0.000505254648342765
"agency_id21152",0.000100665903909122,0.000428857864599669,0.000606305578011318
"agency_id21186",9.96993487921476e-05,0.000662333771741628,0.000909458367016977
"agency_id21063",9.59296356739309e-05,0.000730480649829721,0.000943142010239828
"agency_id21180",9.5402911287835e-05,0.000635378898331327,0.00101050929668553
"age_num22",9.28980219455734e-05,0.000238695974353414,0.00107787658313123
"incident_hour11",9.18707540751184e-05,0.000124631437653774,0.00235785502559957
"agency_id20961",8.98527621587867e-05,0.000298623310556847,0.000606305578011318
"age_num02",8.97237180936033e-05,0.00107200492074081,0.000370520075451361
"agency_id21049",8.92339331920156e-05,0.000434571809455594,0.00104419293990838
"agency_id21277",8.86736198033702e-05,0.000187242772460591,0.000471571005119914
"agency_id20998",8.62895751056196e-05,0.000301756026971886,0.00067367286445702
"agency_id21021",8.61020238806067e-05,0.000848736421334573,0.000202101859337106
"agency_id21147",8.51721136077671e-05,0.00149398496898941,0.00373888439773646
"agency_id20936",8.42541909889702e-05,0.000255477958613957,0.000774723794125573
"age_num25",8.28302614114646e-05,0.00034383913489791,0.00191996766370251
"agency_id21223",8.12110610311673e-05,0.000856319178628857,0.00124629479924549
"age_num78",7.97779976020912e-05,0.000578151082192002,0.000202101859337106
"agency_id20928",7.88006502291597e-05,0.000199547089070155,0.000909458367016977
"age_num01",7.85970705678425e-05,0.00128886572313093,0.000471571005119914
"age_num26",7.84345132647769e-05,0.000798630860746804,0.000808407437348424
"agency_id21259",7.27217479045883e-05,0.000644738577207533,0.000370520075451361
"agency_id21249",7.2609995020166e-05,0.000511767937205398,0.00131366208569119
"agency_id20991",7.23533211635907e-05,0.000319933919043035,0.000471571005119914
"location_id2",7.18915270974609e-05,0.000119708623079342,0.000202101859337106
"agency_id21093",7.18110481840841e-05,0.000201212456104599,0.00033683643222851
"age_num81",7.10438972534231e-05,0.000343076083700657,0.00033683643222851
"agency_id21240",7.0511759902756e-05,0.00281842626099609,0.00114524386957693
"age_num67",7.00176564151263e-05,0.000452100680692789,0.000842091080571275
"agency_id20960",6.97965498607494e-05,0.000112485156653137,0.00104419293990838
"incident_hour18",6.96572733563181e-05,7.06414827326411e-05,0.00212206952303961
"agency_id21076",6.93814731303712e-05,0.000563291188021814,0.000235785502559957
"agency_id21130",6.80018616741493e-05,0.000129950287535899,0.000269469145782808
"agency_id21103",6.79282857638027e-05,0.000292287983541664,0.000639989221234169
"agency_id21109",6.66478586755103e-05,0.00107543202117935,0.00191996766370251
"age_num79",6.54001366686477e-05,0.000481631402405749,0.000437887361897063
"age_num68",6.47525255465591e-05,0.000162812255145054,0.000909458367016977
"agency_id20940",6.45507137274814e-05,0.000780791179400373,0.00124629479924549
"age_num76",6.34909470238578e-05,0.000298714368206037,0.000505254648342765
"agency_id21138",6.04173133691279e-05,0.000520410343671121,0.00107787658313123
"agency_id21106",5.99194637396098e-05,0.00171270082399536,0.000370520075451361
"age_num69",5.92981808394444e-05,0.000770727035699375,0.000370520075451361
"agency_id21311",5.78759728035481e-05,0.000604174382287764,0.000707356507679871
"agency_id20956",5.74468375182181e-05,0.000260000464717812,0.000303152789005659
"agency_id20903",5.72252763758368e-05,0.00115849116646461,0.00033683643222851
"agency_id21124",5.69223439806626e-05,0.000296717218045643,0.000437887361897063
"agency_id21058",5.68127756441504e-05,0.000219380183047327,0.00148208030180544
"agency_id20937",5.63922943674973e-05,0.000403265975410736,0.000606305578011318
"agency_id20967",5.62289920452023e-05,0.000557805541951701,0.000168418216114255
"race_id40",5.40864598522495e-05,0.000134447749810487,0.000572621934788467
"location_id22",5.28591395866599e-05,0.000199990474355428,0.000437887361897063
"agency_id20978",5.27373100014726e-05,0.000571788711650158,0.000774723794125573
"agency_id21284",5.11614428017827e-05,0.000100109112802525,0.000639989221234169
"location_id12",5.03776446900336e-05,0.000368875036793553,0.000134734572891404
"agency_id20957",5.03427592698418e-05,0.000395963509034508,0.000269469145782808
"agency_id21286",4.49490347149475e-05,0.000189706709126951,0.000202101859337106
"age_num65",4.36629126491551e-05,0.000313513604888608,0.000437887361897063
"location_id10",4.35307117228298e-05,0.00025062207438742,0.00067367286445702
"agency_id21068",4.32670380528159e-05,0.000223191987174993,0.000707356507679871
"agency_id21009",4.32125800935445e-05,0.000102511868250997,0.000168418216114255
"agency_id20981",4.2956125112675e-05,0.000311325697880381,0.000572621934788467
"agency_id21305",4.29171063089614e-05,0.00109938753894605,0.00154944758825115
"agency_id20973",4.18764028374866e-05,0.000411634947063753,0.000168418216114255
"agency_id21323",4.13105965104544e-05,0.000179199751482793,0.000471571005119914
"agency_id20976",4.06622740423218e-05,1.06943541374045e-05,0.000168418216114255
"agency_id21025",4.01275859478521e-05,0.000454374289017901,0.000303152789005659
"age_num72",3.89835899798151e-05,0.000164308885808919,0.00104419293990838
"agency_id21230",3.79079758332593e-05,0.00019242309568634,0.00067367286445702
"age_num80",3.74456766693469e-05,0.00026820874640167,0.000134734572891404
"age_num27",3.58478335069613e-05,0.000119857874303289,0.000943142010239828
"age_num30",3.5516038982654e-05,0.000203844105486918,0.00148208030180544
"age_num66",3.55113079000893e-05,0.000552732119215805,0.00033683643222851
"age_num24",3.54339185014834e-05,0.000151047511646004,0.000572621934788467
"age_num74",3.46208794372641e-05,0.000551890579895839,0.00067367286445702
"agency_id21052",3.36258241779008e-05,0.000406544479288165,0.000101050929668553
"age_num37",3.2958072281727e-05,5.06711357158862e-05,0.00148208030180544
"agency_id20982",3.20616962925104e-05,0.000307236245291929,0.00104419293990838
"age_num70",3.1512084663136e-05,0.000432623199568847,0.000471571005119914
"agency_id20962",3.13211534921273e-05,8.782497171131e-05,0.000168418216114255
"agency_id33816",3.04795279979813e-05,0.00020407976030243,0.000875774723794126
"age_num23",3.04683253500759e-05,0.000108607302996667,0.000538938291565616
"agency_id21200",3.03239789266507e-05,0.000286335384324137,0.000437887361897063
"victim_type_id7",3.001525053442e-05,0.000741326008645968,6.7367286445702e-05
"age_num62",2.93636365124034e-05,0.000138416601601344,0.00067367286445702
"agency_id21154",2.934500261337e-05,0.000370756942488658,0.00117892751279978
"agency_id21084",2.933276451501e-05,0.000284364396871314,0.000774723794125573
"age_num77",2.86639645409371e-05,0.000136436436965839,0.000404203718674212
"agency_id21088",2.76988531617915e-05,0.00102602873527161,0.00144839665858259
"age_num71",2.75999634342352e-05,0.000178701172168855,0.000168418216114255
"agency_id20923",2.7203175452739e-05,8.23471161289618e-05,0.000606305578011318
"age_num60",2.70080645975784e-05,0.000143632193299584,0.000303152789005659
"agency_id21081",2.70067450296211e-05,0.00177226076341449,0.00218943680948531
"age_num54",2.69481726279947e-05,5.48395942058411e-05,0.000505254648342765
"location_id9",2.68797066235498e-05,0.00051494840829868,0.000741040150902722
"agency_id21053",2.67351097558074e-05,0.000849950808994831,0.00138102937213689
"age_num49",2.66564386715778e-05,9.60860906376193e-05,0.000976825653462678
"age_num63",2.53316198019083e-05,6.66465991667797e-05,0.000370520075451361
"age_num61",2.5288667549212e-05,5.4481529342712e-05,0.000471571005119914
"age_num83",2.3967218102668e-05,0.000106532045608301,0.000101050929668553
"age_num64",2.33875994558531e-05,7.59610348894463e-05,0.000303152789005659
"agency_id21187",2.33749088740627e-05,8.57802989804072e-05,0.000639989221234169
"agency_id21239",2.33221429923633e-05,0.000170438339216208,0.000101050929668553
"agency_id21004",2.30964884533681e-05,0.000130326849599923,0.000101050929668553
"agency_id20958",2.25935710094302e-05,5.42491597443473e-05,0.000101050929668553
"victim_type_id9",2.23166132677313e-05,0.000298214467663464,0.000303152789005659
"agency_id21073",2.17994352297285e-05,0.00016011491332275,0.000269469145782808
"age_num56",2.16144137027773e-05,0.000112125318248867,0.000606305578011318
"agency_id21064",2.15828156273213e-05,6.83189948995034e-05,0.000202101859337106
"agency_id21316",2.12327428770025e-05,8.39224432173527e-05,0.000168418216114255
"age_num53",2.08156689058085e-05,0.000112211936093724,0.00067367286445702
"agency_id21071",2.00781146006397e-05,0.000623159842629103,0.000875774723794126
"location_id38",1.99412899250285e-05,0.00032553435726593,6.7367286445702e-05
"age_num51",1.95686708724345e-05,4.21280594570258e-05,0.000269469145782808
"agency_id21196",1.90663090360576e-05,7.32292994622622e-05,0.000134734572891404
"agency_id21131",1.88426896202117e-05,0.000258891061170738,0.000235785502559957
"agency_id21046",1.84578682470173e-05,0.000279997105374706,0.000168418216114255
"agency_id21094",1.80505952773818e-05,0.000324205939242372,0.000639989221234169
"agency_id21297",1.7825306934279e-05,0.00042108132710554,0.000471571005119914
"age_num55",1.7405962127637e-05,2.94444311995211e-05,0.000370520075451361
"age_num59",1.73340740857142e-05,0.000162638424307306,0.000235785502559957
"age_num31",1.65997408311971e-05,1.32838023165735e-05,0.000370520075451361
"agency_id21135",1.64564330150877e-05,0.000593603124850021,0.000639989221234169
"agency_id21001",1.64478705553839e-05,0.000249089949094812,6.7367286445702e-05
"age_num47",1.63740326255625e-05,7.05731894957485e-05,0.000572621934788467
"age_num39",1.63395712770507e-05,4.00428482177924e-05,0.000437887361897063
"age_num48",1.56370581305567e-05,5.87583642896441e-05,0.000471571005119914
"agency_id27933",1.54351936971266e-05,2.54124401537447e-05,6.7367286445702e-05
"age_num33",1.52362830334382e-05,4.83618958779836e-05,0.000437887361897063
"age_num36",1.51660249841517e-05,5.21241182229437e-05,0.000875774723794126
"agency_id21030",1.47653666908955e-05,0.000190459940381644,6.7367286445702e-05
"agency_id21214",1.47451490998559e-05,8.22389717797177e-05,0.000168418216114255
"age_num42",1.47447397601945e-05,8.61416074003211e-05,0.000909458367016977
"agency_id21191",1.47373432345391e-05,0.000890017888664825,0.00121261115602264
"agency_id21078",1.45423881178615e-05,0.00057863615164557,0.000538938291565616
"agency_id21194",1.43877734774289e-05,0.000242200658289654,0.00033683643222851
"age_num32",1.32011977663103e-05,6.70343678682819e-05,0.000471571005119914
"age_num75",1.31784367974774e-05,9.60804843431398e-05,6.7367286445702e-05
"agency_id21315",1.31249595697341e-05,0.000502548760877042,0.00148208030180544
"agency_id20970",1.2964883559526e-05,8.61725729525261e-05,0.000370520075451361
"age_num34",1.27087768856692e-05,5.77727634365866e-05,0.000370520075451361
"age_num28",1.26952928794452e-05,3.19624995553066e-05,0.000572621934788467
"agency_id21086",1.26734084657227e-05,0.000107012020594698,0.000437887361897063
"agency_id21136",1.23444161818222e-05,1.4703419522963e-06,6.7367286445702e-05
"agency_id20949",1.22950818081841e-05,0.000939360802756005,0.00107787658313123
"agency_id21226",1.22211670614082e-05,0.000145803507580625,0.000168418216114255
"agency_id21028",1.18069900364555e-05,0.000248841748558745,3.3683643222851e-05
"agency_id33240",1.16683312245209e-05,0.000497817524454729,0.000101050929668553
"age_num52",1.16637874490507e-05,1.55618816912901e-05,0.000168418216114255
"age_num85",1.15771442381508e-05,0.000243727165384823,0.000303152789005659
"location_id27",1.1512106584906e-05,4.832797244005e-05,0.000168418216114255
"agency_id20931",1.11409933550766e-05,4.76873431933753e-05,3.3683643222851e-05
"age_num46",1.10695230711116e-05,1.34161334819162e-05,0.000134734572891404
"agency_id21299",1.08834976623173e-05,5.2074262672142e-05,3.3683643222851e-05
"agency_id21121",1.08246832346701e-05,0.000123776340861595,0.000101050929668553
"age_num35",1.06806630202296e-05,3.83962045404966e-05,0.000471571005119914
"age_num93",1.04227979747167e-05,9.59955745731401e-05,3.3683643222851e-05
"age_num73",1.03510204229339e-05,5.62387039128679e-05,0.000202101859337106
"agency_id21160",1.00283460704655e-05,0.000893255589193048,0.000774723794125573
"age_num40",9.76906464658694e-06,8.5279684260193e-05,0.000471571005119914
"agency_id21055",9.51222873780634e-06,0.000496100546182785,0.000606305578011318
"agency_id21278",9.37739078014051e-06,0.000104842765525854,0.000101050929668553
"agency_id21115",9.17040276107715e-06,0.000660159481720417,0.000168418216114255
"agency_id21031",9.0559107734707e-06,0.000646052045112478,0.000774723794125573
"age_num58",9.04107563067799e-06,1.6421257597833e-05,0.000168418216114255
"agency_id21167",8.89954512739139e-06,0.00100778711474899,0.000943142010239828
"agency_id21325",8.84130630075904e-06,0.00014151819177421,3.3683643222851e-05
"agency_id20984",8.6361255846994e-06,1.82964187778439e-05,3.3683643222851e-05
"agency_id20946",8.61715758452845e-06,0.000247577201822188,0.000303152789005659
"age_num38",8.56745911957192e-06,4.07221561351918e-05,0.000538938291565616
"agency_id21120",8.47705082561683e-06,1.44203356867739e-05,0.000134734572891404
"agency_id21013",8.11092017495635e-06,4.04104503281651e-05,6.7367286445702e-05
"age_num50",8.07766369511376e-06,1.95932329529301e-05,0.000134734572891404
"agency_id21026",7.99638188671983e-06,0.000112811714379351,3.3683643222851e-05
"agency_id21296",7.74415709978045e-06,8.24926060173344e-06,3.3683643222851e-05
"age_num43",7.57945418342545e-06,1.80684160781782e-05,0.00033683643222851
"age_num44",7.26551697031062e-06,2.43263321885884e-05,0.000235785502559957
"agency_id21210",7.10928128168165e-06,4.6397580034621e-05,0.000134734572891404
"age_num90",6.91079837267802e-06,2.1729210319457e-05,3.3683643222851e-05
"agency_id20979",6.87564461928915e-06,7.35607909656766e-05,3.3683643222851e-05
"age_num41",6.50542635959347e-06,7.94188821632876e-06,0.000202101859337106
"agency_id21104",6.50304976929716e-06,0.000375655225061132,0.000303152789005659
"agency_id21165",6.38489687505319e-06,0.000363307545965815,0.000741040150902722
"agency_id21149",6.35425848538425e-06,0.000130865375249898,0.00033683643222851
"agency_id20939",5.83848051529789e-06,6.66615195279902e-05,6.7367286445702e-05
"agency_id21228",5.51852790327722e-06,6.00378849507346e-05,0.000202101859337106
"age_num45",5.39461163287523e-06,7.62084900026008e-06,0.000101050929668553
"agency_id20987",5.3825597893226e-06,7.91364100276871e-06,3.3683643222851e-05
"agency_id21047",5.20375096509865e-06,1.72694075245861e-05,0.000101050929668553
"age_num57",5.17971251979033e-06,1.20095531791936e-05,3.3683643222851e-05
"agency_id25769",5.13126259341541e-06,2.87818915779775e-05,3.3683643222851e-05
"agency_id21320",4.65896722869723e-06,4.08095893328553e-05,3.3683643222851e-05
"agency_id21231",4.32936461830937e-06,1.06759335618196e-05,3.3683643222851e-05
"agency_id21274",4.13078200510801e-06,0.00010966160773876,3.3683643222851e-05
"agency_id21224",3.98801848447375e-06,1.4561867840721e-05,3.3683643222851e-05
"agency_id21156",3.66187421546682e-06,5.58933633147041e-05,0.000101050929668553
"agency_id21043",3.61469019040979e-06,0.0002120657899045,0.000168418216114255
"agency_id21036",3.58934270001464e-06,0.000241298675735363,0.000168418216114255
"agency_id21329",3.23601101671036e-06,4.46714282996684e-06,3.3683643222851e-05
"agency_id21188",2.99179834334907e-06,1.35969037457398e-05,0.000101050929668553
"agency_id21260",2.9021403300587e-06,4.30286374619572e-05,0.000101050929668553
"agency_id20932",2.88133398441613e-06,5.32620293608426e-06,3.3683643222851e-05
"agency_id21262",2.78437046829993e-06,3.63942783171303e-05,3.3683643222851e-05
"agency_id21162",2.72853190842246e-06,3.82531577348032e-05,3.3683643222851e-05
"agency_id20908",2.6395126333698e-06,1.46464993790149e-05,6.7367286445702e-05
"age_num29",2.58522593381532e-06,3.4994897817748e-06,0.000101050929668553
"age_num84",2.30273658218056e-06,1.05739192373249e-05,3.3683643222851e-05
"agency_id28556",2.24152294006552e-06,3.91572560403552e-05,3.3683643222851e-05
"agency_id21182",2.20084152281724e-06,7.54977419024394e-05,0.000202101859337106
"agency_id21113",2.13329100810341e-06,1.00648511832239e-05,3.3683643222851e-05
"agency_id21157",1.90977471638824e-06,0.000269015743329747,0.000168418216114255
"agency_id21118",1.79329916769765e-06,0.000104148691985734,0.000134734572891404
"location_id42",1.78718327537879e-06,4.64885491555411e-06,6.7367286445702e-05
"agency_id20959",1.72233082465422e-06,1.47252763345088e-06,3.3683643222851e-05
